,ID,di_muon,di_ve_som,vang_co_phep,vang_khong_phep,OT,muc_tieu_dat_duoc,du_an,chat_luong_du_an,thoi_han_hop_dong,ngay_danh_gia_cuoi,so_nam_o_cong_ty,so_nam_trong_vi_tri_hien_tai,ngay_tang_luong_cuoi,tinh_trang_lam_viec,tinh_trang_hon_nhan,so_con,chieu_cao,can_nang,tinh_trang_suc_khoe,Hut_thuoc,Uong_ruou_bia,Phuong_tien_di_chuyen
0,FSI_1,4,0,3,1,0,90,0,0,1,14/03/2020 ,5,3,12/02/2020 ,full time,chua co gia dinh,0,175,40,khong bi benh,khong,khong,xe may
1,FSI_2,4,5,4,0,1,80,0,0,3,18/04/2020 ,5,4,06/07/2020 ,full time,co gia dinh,0,175,40,khong bi benh,co,co,bus
2,FSI_3,0,1,5,0,4,100,2,0,1,28/11/2019 ,3,5,26/04/2020 ,full time,co gia dinh,1,165,40,khong bi benh,co,khong,xe may
3,FSI_4,2,0,0,1,1,90,1,0,1,06/04/2020 ,0,1,11/11/2019 ,full time,co gia dinh,0,165,50,khong bi benh,khong,khong,bus
4,FSI_5,3,1,0,2,4,70,0,0,1,22/10/2019 ,2,3,17/05/2020 ,full time,chua co gia dinh,1,150,50,dang bi benh,co,khong,bus
5,FSI_6,2,0,4,5,0,90,1,2,3,24/10/2019 ,0,0,18/03/2020 ,nghi phep,co gia dinh,1,175,40,dang bi benh,co,co,bus
6,FSI_7,2,2,0,1,5,70,5,0,2,30/11/2019 ,0,0,02/11/2019 ,nghi phep,co gia dinh,0,150,70,khong bi benh,khong,co,xe may
7,FSI_8,4,0,4,3,5,70,2,0,1,05/09/2020 ,3,0,15/01/2020 ,full time,chua co gia dinh,1,180,50,dang bi benh,khong,khong,xe may
8,FSI_9,5,0,2,0,2,80,4,1,1,15/03/2020 ,1,4,02/05/2020 ,part time,chua co gia dinh,2,165,60,khong bi benh,khong,co,xe may
9,FSI_10,5,1,0,1,5,90,1,1,1,12/06/2020 ,0,0,01/03/2020 ,full time,chua co gia dinh,0,180,70,dang bi benh,khong,khong,xe may
10,FSI_11,0,5,3,2,2,70,4,1,1,19/07/2020 ,3,0,30/01/2020 ,nghi phep,co gia dinh,1,180,70,khong bi benh,khong,co,xe may
11,FSI_12,2,1,2,2,3,70,2,2,1,15/02/2020 ,4,0,02/11/2019 ,nghi phep,chua co gia dinh,0,175,40,dang bi benh,khong,khong,xe may
12,FSI_13,0,2,1,5,2,90,2,5,2,05/04/2020 ,0,0,31/01/2020 ,full time,chua co gia dinh,0,175,40,khong bi benh,khong,khong,oto
13,FSI_14,0,0,2,2,4,80,3,2,2,17/10/2019 ,2,2,29/09/2019 ,part time,co gia dinh,1,160,50,khong bi benh,co,khong,oto
14,FSI_15,4,2,1,4,1,90,3,0,1,21/10/2019 ,1,1,09/10/2019 ,nghi phep,chua co gia dinh,3,165,70,khong bi benh,co,khong,xe may
15,FSI_16,5,3,1,0,2,80,4,1,1,03/05/2020 ,0,1,06/08/2020 ,full time,chua co gia dinh,0,170,60,dang bi benh,khong,co,oto
16,FSI_17,5,1,0,1,3,70,2,4,1,16/08/2020 ,0,5,01/08/2020 ,nghi phep,chua co gia dinh,0,165,40,dang bi benh,khong,co,bus
17,FSI_18,1,4,5,0,1,70,0,1,2,01/06/2020 ,0,0,28/12/2019 ,full time,chua co gia dinh,2,150,50,dang bi benh,khong,co,bus
18,FSI_19,4,4,5,2,2,100,3,4,1,15/02/2020 ,2,4,07/01/2020 ,nghi phep,co gia dinh,0,160,70,khong bi benh,khong,khong,xe may
19,FSI_20,1,0,0,0,2,80,0,4,1,21/01/2020 ,4,2,20/09/2019 ,part time,co gia dinh,1,165,70,khong bi benh,co,co,bus
20,FSI_21,0,4,4,1,5,80,5,4,1,21/08/2020 ,0,2,05/06/2020 ,nghi phep,co gia dinh,1,150,70,khong bi benh,khong,co,xe may
21,FSI_22,1,4,0,4,0,90,3,3,1,25/03/2020 ,0,1,02/08/2020 ,full time,co gia dinh,1,175,40,dang bi benh,khong,co,bus
22,FSI_23,0,0,1,3,0,100,2,2,1,21/04/2020 ,1,4,02/09/2020 ,nghi phep,chua co gia dinh,2,175,70,dang bi benh,khong,khong,xe may
23,FSI_24,1,0,0,0,5,80,3,2,1,18/03/2020 ,3,0,15/09/2019 ,nghi phep,chua co gia dinh,0,160,50,dang bi benh,co,co,bus
24,FSI_25,1,2,0,0,0,90,3,2,2,02/03/2020 ,2,0,16/02/2020 ,part time,co gia dinh,2,160,40,dang bi benh,co,co,xe may
25,FSI_26,4,2,3,5,2,100,0,2,3,01/02/2020 ,2,0,25/08/2020 ,nghi phep,co gia dinh,0,165,60,dang bi benh,co,co,xe may
26,FSI_27,3,1,1,2,0,70,5,5,1,23/04/2020 ,0,3,03/11/2019 ,full time,chua co gia dinh,2,180,70,dang bi benh,khong,khong,bus
