,Bang_cap,Nam_kinh_nghiem,Mang_cong_viec,Luong,Luong_cu,Thoi_gian_gan_bo,Nang_luc_work,Xep_loai_bang
0,Cao dang,1,Lap trinh vien,22.05,21,5,B,Gioi
1,Dai hoc,3,Lap trinh vien,11.55,11,2,B,kha
2,Dai hoc,0,Ky su R&D,15.75,15,1,C,kha
3,Dai hoc,8,Ky su R&D,11.55,11,8,A,Xuat sac
4,Cao dang,12,Ke toan,8.4,8,0,B,Xuat sac
5,Khong bang cap,21,Ke toan,6.3,6,11,D,Khong xep loai
6,Dai hoc,10,Lap trinh vien,24.15,23,8,A,Trung binh
7,Dai hoc,8,Ky su R&D,12.6,12,5,B,kha
8,Khong bang cap,4,Lap trinh vien,9.45,9,9,B,Khong xep loai
9,Cao dang,0,Ky su R&D,13.65,13,1,C,Xuat sac
10,Cao dang,13,Xu ly data,10.5,10,10,B,kha
11,Dai hoc,0,Lap trinh vien,4.2,4,0,A,Xuat sac
12,Khong bang cap,2,BA,14.7,14,8,A,Khong xep loai
13,Cao dang,4,Lap trinh vien,18.9,18,1,C,Xuat sac
14,Dai hoc,0,PM,7.35,7,1,C,Xuat sac
15,Dai hoc,0,Lap trinh vien,33.075,31.5,1,C,Xuat sac
16,Dai hoc,5,Lap trinh vien,4.2,4,11,D,Xuat sac
17,Khong bang cap,3,Lap trinh vien,25.2,24,6,A,Khong xep loai
18,Dai hoc,6,PM,25.2,24,10,A,kha
19,Khong bang cap,0,Xu ly data,7.875,7.5,0,C,Khong xep loai
20,Dai hoc,0,Tu van ban hang,11.55,11,7,A,Trung binh
21,Cao dang,5,Lap trinh vien,19.95,19,6,A,Gioi
22,Dai hoc,9,Lap trinh vien,88.2,84,9,A,Gioi
23,Cao dang,3,BA,15.75,15,0,D,Trung binh
24,Cao dang,1,Lap trinh vien,16.8,16,2,D,Trung binh
25,Dai hoc,2,Lap trinh vien,4.2,4,7,D,Trung binh
26,Dai hoc,4,Lap trinh vien,8.4,8,3,C,kha
27,Dai hoc,2,Tu van ban hang,9.45,9,1,A,Gioi
28,Cao dang,0,Lap trinh vien,6.3,6,1,B,Xuat sac
29,Dai hoc,0,PM,22.05,21,1,B,Trung binh
30,Dai hoc,1,BA,7.35,7,0,B,kha
31,Cao dang,13,Lap trinh vien,19.95,19,11,A,Trung binh
32,Cao dang,0,Lap trinh vien,22.05,21,1,B,Trung binh
33,Dai hoc,4,Tu van ban hang,5.25,5,7,B,kha
34,Dai hoc,0,Lap trinh vien,9.45,9,5,A,Gioi
35,Dai hoc,7,Tu van ban hang,12.6,12,4,A,Trung binh
36,Thac si,0,Ky su R&D,23.1,22,1,A,Trung binh
37,Cao dang,3,Ke toan,11.025,10.5,3,D,Gioi
38,Dai hoc,0,Lap trinh vien,5.25,5,1,D,Gioi
39,Thac si,10,Tu van ban hang,15.75,15,5,A,Gioi
40,Cao dang,3,Lap trinh vien,4.2,4,2,C,Trung binh
41,Cao dang,0,Lap trinh vien,29.925,28.5,1,D,Xuat sac
42,Dai hoc,0,BA,18.9,18,1,D,kha
43,Khong bang cap,6,Lap trinh vien,4.2,4,3,B,Khong xep loai
44,Thac si,2,PM,18.9,18,5,A,kha
45,Dai hoc,0,PM,16.8,16,0,A,Gioi
46,Dai hoc,0,Lap trinh vien,24.15,23,0,D,Trung binh
47,Thac si,1,Lap trinh vien,33.075,31.5,2,A,Trung binh
48,Dai hoc,1,Ky su R&D,21,20,9,D,kha
49,Dai hoc,8,Lap trinh vien,24.15,23,7,C,kha
50,Thac si,0,Tu van ban hang,15.75,15,0,A,Xuat sac
51,Dai hoc,0,Lap trinh vien,13.65,13,8,C,Gioi
