,ID,di_muon,di_ve_som,vang_co_phep,vang_khong_phep,OT,muc_tieu_dat_duoc,du_an,chat_luong_du_an,thoi_han_hop_dong,ngay_danh_gia_cuoi,so_nam_o_cong_ty,so_nam_trong_vi_tri_hien_tai,ngay_tang_luong_cuoi,tinh_trang_lam_viec,tinh_trang_hon_nhan,so_con,chieu_cao,can_nang,tinh_trang_suc_khoe,Hut_thuoc,Uong_ruou_bia,Phuong_tien_di_chuyen
0,FSI_1,5,0,1,2,2,70,1,1,2,15/12/2019 ,1,0,25/10/2019 ,part time,chua co gia dinh,0,160,70,dang bi benh,co,khong,bus
1,FSI_2,5,0,1,0,0,100,4,4,1,18/03/2020 ,2,2,07/12/2019 ,nghi phep,chua co gia dinh,0,150,50,dang bi benh,khong,co,xe may
2,FSI_3,0,2,5,4,3,90,0,4,2,05/10/2019 ,2,0,10/08/2020 ,full time,co gia dinh,2,175,70,dang bi benh,khong,co,bus
3,FSI_4,2,0,3,0,3,90,1,1,1,12/08/2020 ,3,0,02/10/2019 ,part time,chua co gia dinh,1,165,70,dang bi benh,khong,co,xe may
4,FSI_5,0,1,3,0,4,100,0,1,1,12/06/2020 ,4,5,30/04/2020 ,nghi phep,co gia dinh,2,165,50,dang bi benh,khong,co,xe may
5,FSI_6,0,2,0,2,2,80,0,4,1,22/07/2020 ,5,0,24/09/2019 ,part time,co gia dinh,1,160,60,dang bi benh,co,khong,oto
6,FSI_7,4,1,1,0,1,70,0,0,1,06/06/2020 ,0,2,04/08/2020 ,part time,co gia dinh,0,160,70,dang bi benh,co,khong,bus
7,FSI_8,2,4,3,2,0,90,0,0,3,17/06/2020 ,1,4,20/02/2020 ,nghi phep,chua co gia dinh,2,175,70,khong bi benh,co,khong,bus
8,FSI_9,2,0,0,3,5,70,1,0,2,10/03/2020 ,0,5,07/05/2020 ,full time,chua co gia dinh,2,150,50,khong bi benh,khong,co,xe may
9,FSI_10,5,5,2,3,2,80,3,1,1,09/08/2020 ,1,0,10/11/2019 ,nghi phep,co gia dinh,1,150,70,khong bi benh,khong,khong,bus
10,FSI_11,0,0,1,2,2,70,2,1,1,03/07/2020 ,1,0,20/03/2020 ,nghi phep,chua co gia dinh,1,180,40,khong bi benh,khong,khong,oto
11,FSI_12,4,3,1,2,0,80,1,1,1,11/06/2020 ,0,0,26/08/2020 ,part time,chua co gia dinh,2,150,50,dang bi benh,co,khong,xe may
12,FSI_13,0,2,1,4,2,80,5,5,3,05/01/2020 ,4,5,16/02/2020 ,nghi phep,chua co gia dinh,0,165,50,dang bi benh,co,khong,oto
13,FSI_14,5,0,0,2,4,90,4,0,1,22/07/2020 ,5,1,21/10/2019 ,full time,co gia dinh,1,165,50,khong bi benh,co,co,xe may
14,FSI_15,2,1,0,4,5,90,0,0,2,17/12/2019 ,3,2,11/01/2020 ,full time,co gia dinh,2,160,40,khong bi benh,co,co,xe may
15,FSI_16,5,0,3,0,0,80,4,4,2,16/10/2019 ,2,0,22/10/2019 ,full time,co gia dinh,3,175,50,khong bi benh,co,co,bus
16,FSI_17,0,1,1,2,1,70,1,4,2,29/06/2020 ,3,2,13/06/2020 ,full time,chua co gia dinh,1,150,70,khong bi benh,co,khong,xe may
17,FSI_18,1,1,4,5,3,70,1,0,1,23/05/2020 ,3,2,09/07/2020 ,full time,co gia dinh,2,165,70,khong bi benh,khong,khong,oto
18,FSI_19,2,0,1,1,5,90,2,1,2,02/03/2020 ,0,1,16/08/2020 ,full time,chua co gia dinh,2,160,50,dang bi benh,khong,khong,xe may
19,FSI_20,1,0,0,5,4,70,0,1,2,01/04/2020 ,3,5,28/07/2020 ,full time,co gia dinh,0,180,70,dang bi benh,co,co,bus
